year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe
2014,"Human resources managers","113121","Engineering Technologies","15",105711.0,14193.8,1506,646.853
2014,"General & operations managers","111021","Agriculture","01",82375.4,9027.93,5734,1254.3
2014,"General & operations managers","111021","Natural Resources & Conservation","03",96472.0,23387.8,3054,1017.07
2014,"General & operations managers","111021","Architecture and Related Services","04",87576.5,21382.7,1834,697.591
2014,"General & operations managers","111021","Cultural & Gender Studies","05",59007.1,16315.4,1227,597.147
2014,"General & operations managers","111021","Communications","09",87027.7,8674.91,17712,2838.89
2014,"General & operations managers","111021","Communication Technologies","10",56545.6,18799.1,820,697.041
2014,"General & operations managers","111021","Computer and Information Sciences and Support Services","11",117232.0,22547.8,10954,2066.12
2014,"General & operations managers","111021","Education","13",86722.6,8436.05,12793,2030.05
2014,"General & operations managers","111021","Engineering","14",147956.0,8274.21,39695,3936.22
2014,"General & operations managers","111021","Engineering Technologies","15",104921.0,23036.2,4372,1307.37
2014,"General & operations managers","111021","Language & Linguistics","16",88699.2,32122.1,2579,876.577
2014,"General & operations managers","111021","Human Sciences","19",89131.4,23510.6,1384,764.356
2014,"General & operations managers","111021","English","23",94898.0,17919.2,9688,1714.16
2014,"General & operations managers","111021","Liberal Arts & Humanities","24",77657.0,15161.0,4360,1219.06
2014,"General & operations managers","111021","Biology","26",102053.0,21434.8,7892,1510.18
2014,"General & operations managers","111021","Math & Statistics","27",110788.0,20776.4,4563,1316.9
2014,"General & operations managers","111021","Interdisciplinary Studies","30",71613.2,15488.8,1075,546.964
2014,"General & operations managers","111021","Parks, Recreation, & Leisure","31",80947.2,16093.2,3344,1045.86
2014,"General & operations managers","111021","Philosophy and Religious Studies","38",76426.6,22398.9,2076,932.165
2014,"General & operations managers","111021","Theology","39",54227.3,10507.1,1947,999.926
2014,"General & operations managers","111021","Physical Sciences","40",116821.0,19357.6,6394,1712.47
2014,"General & operations managers","111021","Psychology","42",91689.4,18389.2,10920,2231.39
2014,"General & operations managers","111021","Protective Services","43",90469.4,17920.3,6813,1834.45
2014,"General & operations managers","111021","Public Administration and Social Service","44",96788.6,36070.2,2336,965.451
2014,"General & operations managers","111021","Social Sciences","45",103969.0,8563.07,34830,4060.07
2014,"General & operations managers","111021","Construction","46",72905.1,15288.4,1699,897.031
2014,"General & operations managers","111021","Transportation","49",122629.0,21206.5,1933,835.559
2014,"General & operations managers","111021","Visual & Performing Arts","50",87383.4,15064.5,8973,1563.44
2014,"General & operations managers","111021","Health","51",88085.4,17675.5,6829,1464.1
2014,"General & operations managers","111021","Business","52",102632.0,3807.99,132264,6969.7
2014,"General & operations managers","111021","History","54",89698.4,17932.6,6369,1415.91
2014,"General & operations managers","111021","Multidisciplinary or General Science","GS",84928.7,28726.0,1809,863.884
2014,"Compensation & benefits managers","113111","Math & Statistics","27",116201.0,33602.0,478,400.351
2014,"Compensation & benefits managers","113111","Psychology","42",137490.0,46419.2,1356,787.187
2014,"Compensation & benefits managers","113111","Social Sciences","45",280956.0,201226.0,1125,768.758
2014,"Compensation & benefits managers","113111","Business","52",88378.5,14579.5,5105,1398.51
2014,"Compensation & benefits managers","113111","History","54",95713.9,53204.7,583,438.977
2014,"Human resources managers","113121","Agriculture","01",69227.0,15243.0,1237,695.775
2014,"Human resources managers","113121","Natural Resources & Conservation","03",73846.4,23151.0,1099,566.189
2014,"Human resources managers","113121","Architecture and Related Services","04",111179.0,34692.1,679,461.932
2014,"Human resources managers","113121","Cultural & Gender Studies","05",93521.1,39780.0,1787,1149.76
2014,"Human resources managers","113121","Communications","09",89167.6,9149.22,9902,1851.91
2014,"Human resources managers","113121","Computer and Information Sciences and Support Services","11",117719.0,19578.2,4959,1393.1
2014,"Human resources managers","113121","Education","13",80012.7,11049.7,10720,1722.95
2014,"Human resources managers","113121","Engineering","14",132469.0,19036.8,9361,1631.52
2014,"Human resources managers","113121","Language & Linguistics","16",96369.0,24348.0,1656,711.411
2014,"Human resources managers","113121","Human Sciences","19",75772.9,12386.3,1659,802.853
2014,"Human resources managers","113121","English","23",99468.1,16163.7,6322,1376.78
2014,"Human resources managers","113121","Liberal Arts & Humanities","24",83907.5,11110.8,2729,717.17
2014,"Human resources managers","113121","Biology","26",97729.3,21277.8,5076,1267.16
2014,"Human resources managers","113121","Math & Statistics","27",117881.0,40100.3,2369,1015.9
2014,"Human resources managers","113121","Interdisciplinary Studies","30",67782.7,13725.1,2371,999.143
2014,"Human resources managers","113121","Parks, Recreation, & Leisure","31",65165.5,19150.2,1617,772.667
2014,"Human resources managers","113121","Philosophy and Religious Studies","38",56958.7,21819.6,449,354.678
2014,"Human resources managers","113121","Physical Sciences","40",115394.0,38210.0,2374,857.203
2014,"Human resources managers","113121","Psychology","42",105820.0,11813.8,14217,2462.16
